None,ticker,datekey,date,revenue,eps,ebitda,netinc,roe,evebitda,fcfps,pb,pe,marketcap,ebit,currentratio,capex,ncfo,equity,de,year
0,ZTS,2025-02-13,2024-12-31,9256000000.0,5.47,3845000000.0,2486000000.0,0.497,20.445,5.062,15.483,29.708,73854320871.0,3348000000.0,1.754,-654000000.0,2953000000.0,4770000000.0,1.985,2024
1,ZTS,2024-02-13,2023-12-31,8544000000.0,5.08,3670000000.0,2344000000.0,0.488,24.177,3.524,16.813,35.842,84014036931.0,3179000000.0,3.358,-728000000.0,2353000000.0,4997000000.0,1.86,2023
2,ZTS,2023-02-14,2022-12-31,8080000000.0,4.51,3345000000.0,2114000000.0,0.462,25.161,2.83,18.083,37.68,79656176480.0,2880000000.0,2.37,-585000000.0,1912000000.0,4405000000.0,2.389,2022
3,ZTS,2022-02-15,2021-12-31,7776000000.0,4.29,3163000000.0,2037000000.0,0.461,30.539,3.664,20.545,45.821,93336901901.0,2715000000.0,3.856,-475000000.0,2213000000.0,4543000000.0,2.059,2021
4,ZTS,2021-02-16,2020-12-31,6675000000.0,3.44,2670000000.0,1638000000.0,0.5,31.007,3.563,20.968,48.248,79029671157.0,2229000000.0,3.047,-432000000.0,2126000000.0,3769000000.0,2.61,2020
5,ZTS,2020-02-13,2019-12-31,6260000000.0,3.14,2436000000.0,1500000000.0,0.593,30.178,2.792,25.42,45.891,68836925988.0,2024000000.0,2.629,-460000000.0,1795000000.0,2708000000.0,3.263,2019
6,ZTS,2019-02-14,2018-12-31,5825000000.0,2.96,2208000000.0,1428000000.0,0.694,22.419,3.006,20.435,31.268,44650268793.0,1900000000.0,3.597,-338000000.0,1790000000.0,2185000000.0,3.932,2018
7,ZTS,2018-02-15,2017-12-31,5307000000.0,1.76,1944000000.0,864000000.0,0.488,21.338,2.29,21.521,44.088,38092416470.0,1702000000.0,3.855,-224000000.0,1346000000.0,1770000000.0,3.842,2017
8,ZTS,2017-02-16,2016-12-31,4888000000.0,1.66,1636000000.0,821000000.0,0.587,18.158,1.003,17.462,31.627,25965863298.0,1396000000.0,3.035,-216000000.0,713000000.0,1487000000.0,4.136,2016
9,ZTS,2016-02-24,2015-12-31,4765000000.0,0.68,868000000.0,339000000.0,0.285,28.547,0.881,19.723,62.137,21064479891.0,669000000.0,2.15,-224000000.0,664000000.0,1068000000.0,6.388,2015
10,ZTS,2015-02-27,2014-12-31,4785000000.0,1.16,1137000000.0,583000000.0,0.465,22.735,0.89,17.606,39.591,23081310486.0,933000000.0,3.191,-180000000.0,626000000.0,1311000000.0,4.02,2014
11,ZTS,2014-03-26,2013-12-31,4561000000.0,1.01,1013000000.0,504000000.0,0.612,17.447,0.994,15.56,29.02,14626306621.0,804000000.0,2.372,-184000000.0,681000000.0,940000000.0,5.953,2013
12,ZTS,2013-03-28,2012-12-31,4336000000.0,0.87,910000000.0,436000000.0,0.113,18.643,0.656,4.148,38.303,16700000000.0,710000000.0,2.55,-126000000.0,454000000.0,4026000000.0,0.552,2012
13,ZTS,2013-01-29,2011-12-31,4233000000.0,,596000000.0,245000000.0,,,0.724,,,,391000000.0,2.741,-135000000.0,497000000.0,3720000000.0,0.531,2011
14,ZION,2025-02-25,2024-12-31,3058000000.0,4.95,1136000000.0,784000000.0,0.121,6.734,7.139,1.277,10.613,7821996297.0,1012000000.0,,-97000000.0,1148000000.0,6124000000.0,13.496,2024
15,ZION,2024-02-23,2023-12-31,2983000000.0,4.35,1026000000.0,680000000.0,0.121,7.371,5.225,1.016,8.924,5782501788.0,886000000.0,,-113000000.0,885000000.0,5691000000.0,14.323,2023
16,ZION,2023-02-23,2022-12-31,3030000000.0,5.8,1262000000.0,907000000.0,0.163,11.079,8.53,1.5,8.357,7337315232.0,1152000000.0,,-190000000.0,1470000000.0,4893000000.0,17.301,2022
17,ZION,2022-02-25,2021-12-31,3187000000.0,6.8,1432000000.0,1129000000.0,0.141,1.255,2.645,1.442,9.782,10760261332.0,1446000000.0,,-206000000.0,629000000.0,7463000000.0,11.488,2021
18,ZION,2021-02-25,2020-12-31,2376000000.0,3.06,758000000.0,539000000.0,0.066,13.525,3.347,1.136,17.745,8961163437.0,672000000.0,,-171000000.0,719000000.0,7886000000.0,9.332,2020
19,ZION,2020-02-26,2019-12-31,2795000000.0,4.41,1241000000.0,816000000.0,0.104,7.433,3.296,0.938,8.819,6896102746.0,1053000000.0,,-117000000.0,697000000.0,7353000000.0,8.407,2019
20,ZION,2019-02-26,2018-12-31,2821000000.0,4.36,1336000000.0,884000000.0,0.112,10.876,5.408,1.239,11.043,9386169755.0,1143000000.0,,-129000000.0,1176000000.0,7578000000.0,8.072,2018
21,ZION,2018-03-01,2017-12-31,2585000000.0,2.71,1115000000.0,592000000.0,0.071,13.198,3.78,1.392,19.43,10686447362.0,936000000.0,,-169000000.0,928000000.0,7679000000.0,7.632,2017
22,ZION,2017-02-28,2016-12-31,2290182000.0,2.0,827994000.0,469050000.0,0.054,10.028,1.964,1.191,22.097,9088779410.0,704908000.0,,-195663000.0,596067000.0,7634306000.0,7.284,2016
23,ZION,2016-02-29,2015-12-31,2052345000.0,1.2,602947000.0,309471000.0,0.033,-2.292,1.859,0.581,17.68,4360085509.0,451859000.0,,-157361000.0,535169000.0,7507519000.0,6.948,2015
24,ZION,2015-02-27,2014-12-31,2286715000.0,1.68,750071000.0,398462000.0,0.047,-1.668,1.448,0.737,16.635,5432372100.0,621423000.0,,-175799000.0,454107000.0,7369530000.0,6.763,2014
25,ZION,2014-03-03,2013-12-31,2120871000.0,1.58,537384000.0,263791000.0,0.045,-1.898,4.286,0.884,19.444,5716183987.0,406768000.0,,-88580000.0,876566000.0,6464563000.0,7.667,2013
26,ZION,2013-02-28,2012-12-31,2137583000.0,0.97,757549000.0,349516000.0,0.029,-0.902,3.806,0.735,24.901,4448142494.0,542932000.0,,-68894000.0,765627000.0,6052069000.0,8.173,2012
27,ZION,2012-02-29,2011-12-31,2179962000.0,0.83,822335000.0,323804000.0,0.022,-2.516,5.589,0.501,22.81,3498852698.0,522387000.0,,-77669000.0,1097067000.0,6985308000.0,6.609,2011
28,ZION,2011-03-01,2010-12-31,1315713000.0,-2.48,-26793000.0,-292728000.0,-0.065,-57.89,8.322,0.628,-10.127,4177365125.0,-399547000.0,,-79071000.0,1460994000.0,6648279000.0,6.677,2010
29,ZION,2010-03-01,2009-12-31,684706000.0,-9.92,-1404414000.0,-1216111000.0,-0.221,-2.543,7.721,0.483,-2.23,2752350726.0,-1617454000.0,,-97135000.0,1057898000.0,5692658000.0,7.977,2009
30,ZION,2009-02-27,2008-12-31,1514069000.0,-2.67,-169433000.0,-266269000.0,-0.051,-10.192,9.843,0.166,-3.718,1080713565.0,-309634000.0,,-102016000.0,1173949000.0,6501696000.0,7.469,2008
31,ZION,2008-03-10,2007-12-31,2142086000.0,4.47,854455000.0,493745000.0,0.091,13.079,5.978,0.911,10.056,4821283260.0,729482000.0,,-91086000.0,732900000.0,5292800000.0,8.998,2007
32,ZION,2008-02-28,2007-12-31,2142086000.0,4.47,854455000.0,493745000.0,0.091,13.748,5.978,1.019,11.25,5393408874.0,729482000.0,,-91086000.0,732900000.0,5292800000.0,8.998,2007
33,ZION,2007-03-01,2006-12-31,2243361000.0,5.46,1034846000.0,583125000.0,0.126,12.541,8.752,1.869,16.093,9322277786.0,901075000.0,,-118800000.0,1046987000.0,4987023000.0,8.41,2006
34,ZION,2006-03-15,2005-12-31,1757170000.0,5.27,844206000.0,480121000.0,0.148,14.189,7.584,2.091,18.455,8860767545.0,743539000.0,,-62664000.0,754194000.0,4237264000.0,9.09,2005
35,ZION,2005-03-03,2004-12-31,1548292000.0,4.53,720890000.0,405987000.0,0.151,13.887,6.707,2.177,14.961,6074173326.0,626113000.0,,-60988000.0,662372000.0,2789979000.0,10.271,2004
36,ZION,2004-03-15,2003-12-31,1515649000.0,3.75,646110000.0,337823000.0,0.136,12.883,4.015,1.99,14.962,5054555635.0,551574000.0,,-78600000.0,440187000.0,2540023000.0,10.236,2003
37,ZION,2003-03-20,2002-12-31,1340077000.0,2.8,521017000.0,256278000.0,0.109,11.998,2.056,1.664,15.411,3949378641.0,423980000.0,,-87784000.0,276065000.0,2373843000.0,10.181,2002
38,ZION,2002-03-26,2001-12-31,1295304000.0,3.1,560434000.0,283020000.0,0.128,13.919,8.383,2.317,18.669,5283748272.0,440820000.0,,-78868000.0,843377000.0,2280869000.0,9.649,2001
39,ZION,2001-04-02,2000-12-31,963731000.0,1.87,356342000.0,161709000.0,0.096,19.472,3.202,2.591,28.497,4608187837.0,241370000.0,,-70209000.0,349187000.0,1778844000.0,11.311,2000
40,ZION,2000-03-30,1999-12-31,990078000.0,2.29,394084000.0,194064000.0,0.158,13.989,-0.874,1.976,16.902,3280064388.0,303562000.0,,-76328000.0,1428000.0,1659838000.0,11.195,1999
41,ZION,1999-03-30,1998-12-31,732297000.0,1.93,269849000.0,146847000.0,0.161,22.224,-1.575,5.162,35.631,5232330119.0,217709000.0,,-58358000.0,-62861000.0,1013656000.0,15.39,1998
42,ZBRA,2025-02-13,2024-12-31,4981000000.0,10.25,905000000.0,528000000.0,0.157,19.936,18.568,4.634,31.472,16617063451.0,733000000.0,1.432,-59000000.0,1013000000.0,3586000000.0,1.222,2024
43,ZBRA,2024-02-15,2023-12-31,4584000000.0,5.75,643000000.0,296000000.0,0.099,26.15,-1.771,4.802,49.255,14579474804.0,467000000.0,1.046,-87000000.0,-4000000.0,3036000000.0,1.406,2023
44,ZBRA,2023-02-16,2022-12-31,5781000000.0,8.86,725000000.0,463000000.0,0.171,26.479,8.034,6.272,37.02,17140397172.0,521000000.0,0.807,-75000000.0,488000000.0,2733000000.0,1.755,2022
45,ZBRA,2022-02-10,2021-12-31,5627000000.0,15.66,1160000000.0,837000000.0,0.31,22.025,19.028,8.3,29.592,24768599076.0,973000000.0,0.938,-59000000.0,1069000000.0,2984000000.0,1.083,2021
46,ZBRA,2021-02-11,2020-12-31,4448000000.0,9.43,782000000.0,504000000.0,0.265,33.683,16.739,11.723,49.869,25133958212.0,636000000.0,0.688,-67000000.0,962000000.0,2144000000.0,1.507,2020
47,ZBRA,2020-02-13,2019-12-31,4485000000.0,10.08,862000000.0,544000000.0,0.332,16.181,11.554,6.852,23.164,12601298918.0,687000000.0,0.851,-61000000.0,685000000.0,1839000000.0,1.562,2019
48,ZBRA,2019-02-14,2018-12-31,4218000000.0,7.86,790000000.0,421000000.0,0.366,15.356,13.384,7.928,25.14,10583936546.0,615000000.0,0.893,-64000000.0,785000000.0,1335000000.0,2.25,2018
