date,ticker
2025-03-31,ZTS
2025-03-31,ZBRA
2025-03-31,ZBH
2025-03-31,YUM
2025-03-31,XYL
2025-03-31,XOM
2025-03-31,XEL
2025-03-31,WYNN
2025-03-31,WY
2025-03-31,WTW
2025-03-31,WST
2025-03-31,WSM
2025-03-31,WRB
2025-03-31,WMT
2025-03-31,WMB
2025-03-31,WM
2025-03-31,WFC
2025-03-31,WELL
2025-03-31,WEC
2025-03-31,WDC
2025-03-31,WDAY
2025-03-31,WBD
2025-03-31,WBA
2025-03-31,WAT
2025-03-31,WAB
2025-03-31,VZ
2025-03-31,VTRS
2025-03-31,VTR
2025-03-31,VST
2025-03-31,VRTX
2025-03-31,VRSN
2025-03-31,VRSK
2025-03-31,VMC
2025-03-31,VLTO
2025-03-31,VLO
2025-03-31,VICI
2025-03-31,V
2025-03-31,USB
2025-03-31,URI
2025-03-31,UPS
2025-03-31,UNP
2025-03-31,UNH
2025-03-31,ULTA
2025-03-31,UHS
2025-03-31,UDR
2025-03-31,UBER
2025-03-31,UAL
2025-03-31,TYL
2025-03-31,TXT
2025-03-31,TXN
2025-03-31,TTWO
2025-03-31,TT
2025-03-31,TSN
2025-03-31,TSLA
2025-03-31,TSCO
2025-03-31,TRV
2025-03-31,TROW
2025-03-31,TRMB
2025-03-31,TRGP
2025-03-31,TPR
2025-03-31,TPL
2025-03-31,TMUS
2025-03-31,TMO
2025-03-31,TKO
2025-03-31,TJX
2025-03-31,TGT
2025-03-31,TFC
2025-03-31,TER
2025-03-31,TEL
2025-03-31,TECH
2025-03-31,TDY
2025-03-31,TDG
2025-03-31,TAP
2025-03-31,T
2025-03-31,SYY
2025-03-31,SYK
2025-03-31,SYF
2025-03-31,SWKS
2025-03-31,SWK
2025-03-31,SW
2025-03-31,STZ
2025-03-31,STX
2025-03-31,STT
2025-03-31,STLD
2025-03-31,STE
2025-03-31,SRE
2025-03-31,SPGI
2025-03-31,SPG
2025-03-31,SOLV
2025-03-31,SO
2025-03-31,SNPS
2025-03-31,SNA
2025-03-31,SMCI
2025-03-31,SLB
2025-03-31,SJM
2025-03-31,SHW
2025-03-31,SCHW
2025-03-31,SBUX
2025-03-31,SBAC
2025-03-31,RVTY
2025-03-31,RTX
2025-03-31,RSG
2025-03-31,ROST
2025-03-31,ROP
2025-03-31,ROL
2025-03-31,ROK
2025-03-31,RMD
2025-03-31,RL
2025-03-31,RJF
2025-03-31,RF
2025-03-31,REGN
2025-03-31,REG
2025-03-31,RCL
2025-03-31,QCOM
2025-03-31,PYPL
2025-03-31,PWR
2025-03-31,PTC
2025-03-31,PSX
2025-03-31,PSA
2025-03-31,PRU
2025-03-31,PPL
2025-03-31,PPG
2025-03-31,POOL
2025-03-31,PODD
2025-03-31,PNW
2025-03-31,PNR
2025-03-31,PNC
2025-03-31,PM
2025-03-31,PLTR
2025-03-31,PLD
2025-03-31,PKG
2025-03-31,PHM
2025-03-31,PH
2025-03-31,PGR
2025-03-31,PG
2025-03-31,PFG
2025-03-31,PFE
2025-03-31,PEP
2025-03-31,PEG
2025-03-31,PCG
2025-03-31,PCAR
2025-03-31,PAYX
2025-03-31,PAYC
2025-03-31,PARA
2025-03-31,PANW
2025-03-31,OXY
2025-03-31,OTIS
2025-03-31,ORLY
2025-03-31,ORCL
2025-03-31,ON
2025-03-31,OMC
2025-03-31,OKE
2025-03-31,ODFL
2025-03-31,O
2025-03-31,NXPI
2025-03-31,NWSA
2025-03-31,NWS
2025-03-31,NVR
2025-03-31,NVDA
2025-03-31,NUE
2025-03-31,NTRS
2025-03-31,NTAP
2025-03-31,NSC
2025-03-31,NRG
2025-03-31,NOW
2025-03-31,NOC
2025-03-31,NKE
2025-03-31,NI
2025-03-31,NFLX
2025-03-31,NEM
2025-03-31,NEE
2025-03-31,NDSN
2025-03-31,NDAQ
2025-03-31,NCLH
2025-03-31,MU
2025-03-31,MTD
2025-03-31,MTCH
2025-03-31,MTB
2025-03-31,MSI
2025-03-31,MSFT
2025-03-31,MSCI
2025-03-31,MS
2025-03-31,MRNA
2025-03-31,MRK
2025-03-31,MPWR
2025-03-31,MPC
2025-03-31,MOS
2025-03-31,MOH
2025-03-31,MO
2025-03-31,MNST
2025-03-31,MMM
2025-03-31,MMC
2025-03-31,MLM
2025-03-31,MKTX
2025-03-31,MKC
2025-03-31,MHK
2025-03-31,MGM
2025-03-31,META
2025-03-31,MET
2025-03-31,MDT
2025-03-31,MDLZ
2025-03-31,MCO
2025-03-31,MCK
2025-03-31,MCHP
2025-03-31,MCD
2025-03-31,MAS
2025-03-31,MAR
2025-03-31,MAA
2025-03-31,MA
2025-03-31,LYV
2025-03-31,LYB
2025-03-31,LW
2025-03-31,LVS
2025-03-31,LUV
2025-03-31,LULU
2025-03-31,LRCX
2025-03-31,LOW
2025-03-31,LNT
