date,action,ticker,name,contraticker,contraname,note
2025-05-19,removed,DFS,DISCOVER FINANCIAL SERVICES,COIN,COINBASE GLOBAL INC,
2025-03-24,removed,TFX,TELEFLEX INC,TKO,TKO GROUP HOLDINGS INC,
2025-03-24,removed,FMC,FMC CORP,EXE,EXPAND ENERGY CORP,
2025-03-24,removed,CE,CELANESE CORP,WSM,WILLIAMS SONOMA INC,
2025-03-24,removed,BWA,BORGWARNER INC,DASH,DOORDASH INC,
2024-12-23,removed,QRVO,QORVO INC,APO,APOLLO GLOBAL MANAGEMENT INC,
2024-12-23,removed,AMTM,AMENTUM HOLDINGS INC,WDAY,WORKDAY INC,
2024-12-17,removed,CTLT,CATALENT INC,LII,LENNOX INTERNATIONAL INC,
2024-11-21,removed,MRO,MARATHON OIL CORP,TPL,TEXAS PACIFIC LAND CORP,
2024-09-30,removed,BBWI,BATH & BODY WORKS INC,AMTM,AMENTUM HOLDINGS INC,
2024-09-23,removed,ETSY,ETSY INC,DELL,DELL TECHNOLOGIES INC,
2024-09-23,removed,BIO,BIO-RAD LABORATORIES INC,ERIE,ERIE INDEMNITY CO,
2024-09-23,removed,AAL,AMERICAN AIRLINES GROUP INC,PLTR,PALANTIR TECHNOLOGIES INC,
2024-07-05,removed,WRK,WESTROCK CO,SW,SMURFIT WESTROCK PLC,
2024-06-24,removed,RHI,ROBERT HALF INC,KKR,KKR & CO INC,
2024-06-24,removed,ILMN,ILLUMINA INC,GDDY,GODADDY INC,
2024-06-24,removed,CMA,COMERICA INC,CRWD,CROWDSTRIKE HOLDINGS INC,
2024-05-02,removed,PXD,PIONEER NATURAL RESOURCES CO,VST,VISTRA CORP,
2024-04-02,removed,XRAY,DENTSPLY SIRONA INC,GEV,GE VERNOVA INC,
2024-04-01,removed,VFC,V F CORP,SOLV,SOLVENTUM CORP,
2024-03-18,removed,ZION,ZIONS BANCORPORATION NATIONAL ASSOCIATION,DECK,DECKERS OUTDOOR CORP,
2024-03-18,removed,WHR,WHIRLPOOL CORP,SMCI,SUPER MICRO COMPUTER INC,
2023-12-18,removed,SEE,SEALED AIR CORP,UBER,UBER TECHNOLOGIES INC,
2023-12-18,removed,SEDG,SOLAREDGE TECHNOLOGIES INC,BLDR,BUILDERS FIRSTSOURCE INC,
2023-12-18,removed,ALK,ALASKA AIR GROUP INC,JBL,JABIL INC,
2023-10-18,removed,OGN,ORGANON & CO,HUBB,HUBBELL INC,
2023-10-13,removed,ATVI,ACTIVISION BLIZZARD INC,LULU,LULULEMON ATHLETICA INC,
2023-10-02,removed,DXC,DXC TECHNOLOGY CO,VLTO,VERALTO CORP,
2023-09-18,removed,NWL,NEWELL BRANDS INC,ABNB,AIRBNB INC,
2023-09-18,removed,LNC,LINCOLN NATIONAL CORP,BX,BLACKSTONE INC,
2023-08-25,removed,AAP,ADVANCE AUTO PARTS INC,KVUE,KENVUE INC,
2023-06-20,removed,DISH,DISH NETWORK CORP,PANW,PALO ALTO NETWORKS INC,
2023-05-04,removed,FRCB,FIRST REPUBLIC BANK,AXON,AXON ENTERPRISE INC,
2023-03-20,removed,LUMN,LUMEN TECHNOLOGIES INC,FICO,FAIR ISAAC CORP,
2023-03-10,removed,SIVBQ,SVB FINANCIAL GROUP,PODD,INSULET CORP,
2023-03-10,removed,SBNY,SIGNATURE BANK CORP,BG,BUNGE GLOBAL SA,
2023-01-04,removed,VNO,VORNADO REALTY TRUST,GEHC,GE HEALTHCARE TECHNOLOGIES INC,
2022-12-22,removed,ABMD,ABIOMED INC,STLD,STEEL DYNAMICS INC,
2022-12-19,removed,FBIN,FORTUNE BRANDS INNOVATIONS INC,FSLR,FIRST SOLAR INC,
2022-10-27,removed,TWTR,TWITTER INC,ACGL,ARCH CAPITAL GROUP LTD,
2022-10-11,removed,NLSN,NIELSEN HOLDINGS PLC,TRGP,TARGA RESOURCES CORP,
2022-09-30,removed,DRE,DUKE REALTY CORP,EQT,EQT CORP,
2022-09-30,removed,CTXS,CITRIX SYSTEMS INC,PCG,PG&E CORP,
2022-09-22,removed,PVH,PVH CORP,CSGP,COSTAR GROUP INC,
2022-09-19,removed,PENN,PENN ENTERTAINMENT INC,INVH,INVITATION HOMES INC,
2022-06-21,removed,UAA,UNDER ARMOUR INC,KDP,KEURIG DR PEPPER INC,
2022-06-21,removed,UA,UNDER ARMOUR INC,N/A,N/A,alternative share class removed without replacement
2022-06-21,removed,IPGP,IPG PHOTONICS CORP,ON,ON SEMICONDUCTOR CORP,
2022-06-08,removed,CERN,CERNER CORP,VICI,VICI PROPERTIES INC,
2022-04-08,removed,DISCK,WARNER BROS DISCOVERY INC,N/A,N/A,alternative share class removed without replacement
2022-04-04,removed,PBCT,PEOPLE'S UNITED FINANCIAL INC,CPT,CAMDEN PROPERTY TRUST,
2022-02-25,removed,INFO1,IHS MARKIT LTD,MOH,MOLINA HEALTHCARE INC,
2022-02-11,removed,XLNX,XILINX INC,NDSN,NORDSON CORP,
2022-02-02,removed,GAP,GAP INC,CEG,CONSTELLATION ENERGY CORP,
2021-12-30,removed,WU,WESTERN UNION CO,FDS,FACTSET RESEARCH SYSTEMS INC,
2021-12-30,removed,LEG,LEGGETT & PLATT INC,SBNY,SIGNATURE BANK CORP,
2021-12-30,removed,HBI,HANESBRANDS INC,SEDG,SOLAREDGE TECHNOLOGIES INC,
2021-12-14,removed,KSU,KANSAS CITY SOUTHERN,EPAM,EPAM SYSTEMS INC,
2021-09-20,removed,UNM,UNUM GROUP,DAY,DAYFORCE INC,
2021-09-20,removed,PRGO,PERRIGO CO PLC,MTCH,MATCH GROUP INC,
2021-09-20,removed,NOV,NOV INC,BRO,BROWN & BROWN INC,
2021-08-30,removed,MXIM,MAXIM INTEGRATED PRODUCTS INC,TECH,BIO-TECHNE CORP,
2021-07-21,removed,ALXN,ALEXION PHARMACEUTICALS INC,MRNA,MODERNA INC,
2021-06-03,removed,DINO,HF SINCLAIR CORP,OGN,ORGANON & CO,
2021-05-14,removed,FLIR,FLIR SYSTEMS INC,CRL,CHARLES RIVER LABORATORIES INTERNATIONAL INC,
2021-04-20,removed,VAR,VARIAN MEDICAL SYSTEMS INC,PTC,PTC INC,
2021-03-22,removed,XRX,XEROX HOLDINGS CORP,GNRC,GENERAC HOLDINGS INC,
2021-03-22,removed,VNT,VONTIER CORP,CZR,CAESARS ENTERTAINMENT INC,
2021-03-22,removed,SLG,SL GREEN REALTY CORP,PENN,PENN ENTERTAINMENT INC,
