year,accuracy,precision_4,recall_4,mean_return_top20,volatility_top20,n_class4_real,confusion_matrix,cumulative_return
2004,0.224,0.21568627450980393,0.22,0.11500610133428624,0.243447409545337,100,"[[18, 10, 24, 32, 16], [5, 4, 16, 50, 25], [3, 3, 15, 64, 15], [3, 5, 15, 53, 24], [8, 9, 17, 44, 22]]",1.1150061013342862
2005,0.22,0.2905982905982906,0.34,0.15288260277146715,0.3085007117447656,100,"[[13, 32, 21, 19, 15], [6, 25, 19, 25, 25], [12, 26, 18, 21, 23], [12, 28, 20, 20, 20], [13, 25, 12, 16, 34]]",1.285471136212338
2006,0.204,0.1834862385321101,0.2,0.15837287706258826,0.1566682565728742,100,"[[10, 28, 13, 12, 37], [11, 27, 23, 19, 20], [17, 29, 20, 13, 21], [12, 37, 15, 25, 11], [11, 31, 21, 17, 20]]",1.4890548984352003
2007,0.21,0.21686746987951808,0.18,0.026414572062330145,0.3587613672827392,100,"[[29, 24, 16, 13, 18], [22, 21, 21, 20, 16], [20, 19, 20, 22, 19], [27, 22, 22, 17, 12], [21, 27, 18, 16, 18]]",1.5283876463546826
2008,0.19,0.15492957746478872,0.11,-0.5342149712218236,0.2650854280920075,100,"[[32, 15, 11, 20, 22], [38, 20, 8, 16, 18], [25, 32, 14, 20, 9], [20, 28, 23, 18, 11], [27, 26, 18, 18, 11]]",0.7119000838415251
2009,0.254,0.25416666666666665,0.61,1.4083384707917017,0.9243769286234109,100,"[[30, 17, 5, 8, 40], [24, 14, 10, 16, 36], [25, 10, 4, 13, 48], [18, 8, 1, 18, 55], [27, 0, 1, 11, 61]]",1.7144963592753828
2010,0.17835671342685372,0.2,0.09,0.2168898954616037,0.27669495140802647,100,"[[21, 33, 23, 14, 9], [9, 31, 26, 24, 10], [10, 47, 17, 17, 8], [12, 50, 18, 11, 9], [17, 41, 24, 9, 9]]",2.0863532954079207
2011,0.242,0.20588235294117646,0.21,0.046705268499382516,0.23216069634236422,100,"[[27, 33, 12, 12, 16], [22, 17, 25, 16, 20], [10, 16, 21, 30, 23], [10, 17, 16, 35, 22], [12, 21, 17, 29, 21]]",2.183796986254519
2012,0.234,0.1590909090909091,0.14,0.08719340829968411,0.26814847281354204,100,"[[32, 16, 14, 16, 22], [28, 19, 21, 16, 16], [19, 16, 22, 24, 19], [16, 14, 23, 30, 17], [14, 18, 27, 27, 14]]",2.374209688520629
2013,0.208,0.16666666666666666,0.09,0.3821595074032553,0.3794157777603435,100,"[[17, 20, 24, 27, 12], [7, 23, 33, 23, 14], [13, 19, 29, 28, 11], [5, 9, 52, 26, 8], [13, 22, 27, 29, 9]]",3.281536493557709
