year,accuracy,precision_4,recall_4,mean_return_top20,volatility_top20,n_class4_real,confusion_matrix,cumulative_return
2004,0.228,0.28865979381443296,0.28,0.1382569930545937,0.2384297097245769,100,"[[14, 43, 18, 9, 16], [6, 35, 31, 13, 15], [6, 36, 26, 15, 17], [6, 34, 28, 11, 21], [8, 31, 23, 10, 28]]",1.1382569930545938
2005,0.238,0.24778761061946902,0.28,0.2771256238163621,0.40301077353283626,100,"[[8, 42, 15, 16, 19], [4, 42, 16, 15, 23], [2, 36, 26, 13, 23], [7, 36, 22, 15, 20], [11, 31, 20, 10, 28]]",1.4536971723181846
2006,0.218,0.2,0.18,0.10175175169817394,0.22018883743242929,100,"[[9, 47, 14, 6, 24], [1, 43, 17, 19, 20], [3, 34, 19, 30, 14], [4, 43, 19, 20, 14], [6, 41, 22, 13, 18]]",1.601613406040242
2007,0.22,0.2631578947368421,0.15,-0.2270905290886785,0.34981274960810693,100,"[[26, 21, 18, 17, 18], [21, 18, 25, 26, 10], [24, 19, 33, 14, 10], [20, 29, 29, 18, 4], [28, 28, 20, 9, 15]]",1.2379021702670432
2008,0.162,0.10714285714285714,0.03,-0.4070362468989062,0.23656421967217772,100,"[[53, 9, 0, 31, 7], [65, 9, 0, 17, 9], [65, 12, 1, 18, 4], [60, 16, 4, 15, 5], [59, 12, 4, 22, 3]]",0.7340311168535352
2009,0.234,0.3070539419087137,0.74,2.365388402199872,2.115818768508665,100,"[[17, 20, 7, 30, 26], [13, 8, 6, 34, 39], [20, 3, 1, 32, 44], [24, 1, 0, 17, 58], [14, 0, 0, 12, 74]]",2.4702998075127063
2010,0.218436873747495,0.19148936170212766,0.09,0.20539585611723704,0.2928077564614992,100,"[[32, 34, 12, 12, 10], [23, 42, 15, 8, 12], [19, 51, 15, 5, 9], [14, 62, 6, 11, 7], [25, 59, 3, 4, 9]]",2.9776891513430246
2011,0.234,0.2236842105263158,0.17,0.12662470285292748,0.27905916226789895,100,"[[28, 36, 7, 9, 20], [30, 29, 13, 12, 16], [23, 34, 20, 14, 9], [13, 30, 20, 23, 14], [22, 26, 17, 18, 17]]",3.354738155320221
2012,0.228,0.1,0.01,0.0584628306551952,0.22621384437862974,100,"[[47, 29, 19, 0, 5], [38, 34, 23, 3, 2], [36, 33, 25, 5, 1], [33, 29, 30, 7, 1], [23, 38, 34, 4, 1]]",3.5508656439872293
2013,0.19,0.29411764705882354,0.15,0.3369623295408687,0.32264888882554377,100,"[[6, 21, 13, 52, 8], [4, 7, 13, 67, 9], [8, 16, 12, 56, 8], [2, 17, 15, 55, 11], [5, 26, 21, 33, 15]]",4.747373603271803
2014,0.24,0.25,0.13,0.14204771983689582,0.3353841967495881,100,"[[22, 12, 33, 21, 12], [19, 9, 45, 19, 8], [15, 4, 47, 26, 8], [9, 9, 42, 29, 11], [17, 9, 29, 32, 13]]",5.421727198830431
2015,0.23705179282868527,0.17857142857142858,0.09900990099009901,-0.0068122120738856986,0.23987095894648103,101,"[[31, 27, 10, 20, 13], [21, 19, 20, 28, 12], [21, 18, 29, 21, 11], [17, 12, 31, 30, 10], [24, 12, 23, 32, 10]]",5.384793243345244
2016,0.23214285714285715,0.19117647058823528,0.12871287128712872,0.1777098127553945,0.26276013411674715,101,"[[35, 12, 15, 22, 17], [20, 7, 28, 29, 17], [17, 11, 29, 32, 11], [21, 10, 27, 33, 10], [38, 6, 27, 17, 13]]",6.34172384234664
2017,0.25544554455445545,0.18095238095238095,0.18811881188118812,0.14089654189807072,0.34140902081043767,101,"[[32, 15, 29, 6, 19], [20, 24, 27, 7, 23], [9, 16, 33, 16, 27], [14, 12, 37, 21, 17], [16, 10, 35, 21, 19]]",7.2352508014058285
2018,0.2693069306930693,0.2903225806451613,0.1782178217821782,0.10000393046393899,0.23112375421304526,101,"[[27, 45, 9, 6, 14], [13, 57, 8, 13, 10], [25, 38, 15, 12, 11], [16, 46, 11, 19, 9], [11, 54, 6, 12, 18]]",7.9588043194387765
2019,0.25544554455445545,0.2079207920792079,0.2079207920792079,-0.12345187763507492,0.2605485025620342,101,"[[65, 8, 8, 7, 13], [50, 17, 7, 11, 16], [34, 21, 13, 7, 26], [22, 30, 11, 13, 25], [39, 24, 6, 11, 21]]",6.976274982473915
2020,0.2514851485148515,0.3958333333333333,0.37623762376237624,1.2814887886715383,1.0640891572955036,101,"[[53, 27, 2, 5, 14], [55, 24, 0, 11, 11], [56, 14, 2, 16, 13], [53, 17, 1, 10, 20], [42, 7, 2, 12, 38]]",15.916293159203969
2021,0.22574257425742575,0.189873417721519,0.1485148514851485,0.20370745750659558,0.4498223205336631,101,"[[52, 19, 8, 6, 16], [41, 17, 10, 15, 18], [41, 11, 13, 18, 18], [45, 16, 11, 17, 12], [42, 19, 15, 10, 15]]",19.158560771595027
2022,0.2316831683168317,0.16666666666666666,0.1188118811881188,-0.023049434494372766,0.21639263944765047,101,"[[48, 20, 4, 18, 11], [47, 25, 10, 7, 12], [30, 21, 19, 12, 19], [34, 24, 12, 13, 18], [44, 23, 7, 15, 12]]",18.716966780083688
2023,0.20675944333996024,0.2222222222222222,0.039603960396039604,0.2746992742804679,0.5772109467905482,101,"[[75, 4, 15, 2, 5], [69, 7, 17, 5, 2], [78, 2, 15, 2, 4], [74, 1, 19, 3, 3], [67, 9, 15, 6, 4]]",23.8585039713043
2024,0.1988071570576541,0.1388888888888889,0.1485148514851485,0.09269165870959138,0.22837822853399556,101,"[[31, 11, 19, 16, 24], [23, 8, 26, 17, 26], [16, 13, 33, 18, 21], [16, 8, 41, 13, 22], [16, 16, 35, 19, 15]]",26.06998827873387
