year,accuracy,precision_4,recall_4,mean_return_class4,volatility_class4,tickers,confusion_matrix,cumulative_return
2004,0.266,0.38028169014084506,0.27,-0.006608594898753081,0.4934514079181352,"['DALRQ', 'EP1', 'WNDXQ', 'CCTYQ', 'SEBL', 'CPNLQ', 'TLAB', 'LSI1', 'SLR', 'GTW', 'GT', 'CMVT', 'UNM', 'WMB', 'Q1', 'LU1', 'NOVL', 'ATI', 'GLW', 'PWER1']","[[11, 39, 11, 15, 24], [3, 45, 10, 32, 10], [3, 37, 4, 52, 4], [2, 36, 10, 46, 6], [1, 32, 5, 35, 27]]",0.9933914051012469
2005,0.23,0.36,0.18,0.3493279442305401,0.7654274966187834,"['LSI1', 'CPNLQ', 'SLR', 'GTW', 'IPG', 'EP1', 'Q1', 'VSTNQ', 'TLAB', 'NOVL', 'CNP', 'DPHIQ', 'DALRQ', 'CPWR', 'KG', 'VIAV', 'GLW', 'NVDA', 'SEBL', 'AW']","[[9, 16, 28, 37, 10], [1, 27, 20, 46, 6], [4, 20, 23, 44, 9], [5, 21, 29, 38, 7], [7, 24, 23, 28, 18]]",1.3404107824615532
2006,0.258,0.34615384615384615,0.18,0.04312739029901131,0.39369999556586677,"['IPG', 'SBL', 'VIAV', 'PMCS', 'NOVL', 'CMS', 'GTW', 'CPWR', 'LSI1', 'AV1', 'AMCC', 'AW', 'SLR', 'CTB', 'TLAB', 'AMZN', 'NVDA', 'Q1', 'EP1', 'BIGGQ']","[[25, 31, 6, 22, 16], [10, 42, 17, 26, 5], [7, 45, 11, 29, 8], [7, 46, 9, 33, 5], [10, 31, 15, 26, 18]]",1.3982192014377757
2007,0.204,0.2619047619047619,0.11,-0.07024329006570336,0.3574892220233174,"['IPG', 'VIAV', 'PMCS', 'TSN', 'NOVL', 'JNPR', 'CMS', 'BALL', 'F', 'SLR', 'GT', 'LSI1', 'WEN', 'BIGGQ', 'CSX', 'CNP', 'AMZN', 'CPWR', 'AV1', 'TLAB']","[[21, 38, 11, 21, 9], [10, 30, 12, 38, 10], [13, 44, 13, 25, 5], [11, 47, 8, 27, 7], [20, 46, 10, 13, 11]]",1.3000036844957459
2008,0.254,0.2857142857142857,0.2,-0.4307936237884119,0.1972102829200513,"['VIAV', 'LSI1', 'AMD', 'MU', 'NOVL', 'SLM', 'CNP', 'HRB', 'SOV', 'PHM', 'JBL', 'DHI', 'TNL', 'GME', 'NVDA', 'IPG', 'MTCH', 'NI', 'CMS', 'BBWI']","[[56, 9, 4, 13, 18], [46, 13, 1, 30, 10], [40, 24, 5, 23, 8], [28, 19, 6, 33, 14], [27, 21, 4, 28, 20]]",0.7399703863135362
2009,0.254,0.3033175355450237,0.64,0.8056782710554854,0.5405691945439898,"['MU', 'BALL', 'TLAB', 'LSI1', 'CMS', 'VTRS', 'HRL', 'TER', 'KG', 'FI', 'IPG', 'JBL', 'EP1', 'CTSH', 'NOVL', 'CTAS', 'MAT', 'MAS', 'APH', 'PHM']","[[50, 4, 3, 10, 33], [39, 4, 2, 20, 35], [39, 0, 0, 21, 40], [52, 0, 0, 9, 39], [35, 0, 0, 1, 64]]",1.3361484477908856
2010,0.23046092184368738,0.22377622377622378,0.32,0.20608883186937957,0.3448214078973448,"['TMUS', 'GME', 'NOVL', 'CPWR', 'BSX', 'FHN', 'CTAS', 'VIAV', 'BALL', 'DHI', 'KIM', 'NDAQ', 'NVDA', 'HRB', 'Q1', 'PHM', 'APH', 'FAST', 'AMAT', 'S2']","[[21, 17, 4, 26, 32], [16, 33, 8, 17, 26], [7, 30, 4, 25, 33], [17, 33, 5, 25, 20], [29, 23, 0, 16, 32]]",1.611513720600194
2011,0.244,0.21052631578947367,0.16,-0.041782827446474644,0.2164368973490948,"['PHM', 'TLAB', 'GME', 'CPWR', 'JNS', 'DFODQ', 'NDAQ', 'LSI1', 'TGNA', 'VIAV', 'BSX', 'MAS', 'HST', 'NVDA', 'PBCT', 'APH', 'CTAS', 'NOVL', 'IRM', 'GT']","[[27, 28, 7, 19, 19], [17, 42, 7, 17, 17], [8, 43, 8, 28, 13], [5, 42, 13, 29, 11], [8, 40, 3, 33, 16]]",1.5441801208847297
2012,0.28,0.30434782608695654,0.21,0.2173016612645901,0.3884427272589418,"['AMD', 'IPG', 'NWL', 'PBCT', 'GME', 'PHM', 'APH', 'TGNA', 'CTAS', 'DFODQ', 'NDAQ', 'FHN', 'LSI1', 'VIAV', 'HCBK', 'HST', 'NI', 'NVDA', 'DHI', 'MU']","[[40, 32, 3, 11, 14], [32, 43, 5, 13, 7], [18, 36, 8, 26, 12], [20, 30, 7, 28, 15], [19, 26, 8, 26, 21]]",1.8797330264447372
2013,0.238,0.35,0.21,0.3306960681050968,0.36140191929807547,"['IPG', 'GME', 'TGNA', 'AMD', 'VIAV', 'HST', 'TMUS', 'CMG', 'MU', 'LUV', 'BBY', 'LSI1', 'FAST', 'NDAQ', 'APH', 'NVDA', 'SPLS', 'GEN', 'LRCX', 'AES']","[[21, 18, 3, 46, 12], [8, 22, 7, 54, 9], [10, 22, 6, 53, 9], [8, 24, 10, 49, 9], [17, 19, 10, 33, 21]]",2.5013533473773055
2014,0.218,0.2631578947368421,0.1,0.1691531301858788,0.31391798879166066,"['LSI1', 'GME', 'LRCX', 'NVDA', 'TSCO', 'IPG', 'CMG', 'TGNA', 'NDAQ', 'FAST', 'GEN', 'APH', 'AES', 'HBAN', 'BSX', 'KEY', 'RF', 'GNW', 'MNST', 'SPLS']","[[14, 41, 5, 33, 7], [7, 37, 2, 49, 5], [8, 30, 6, 48, 8], [5, 39, 6, 42, 8], [16, 23, 5, 46, 10]]",2.924465095787103
