ticker,ret_12m,proba_class_4,target_class,year
ALTR1,-0.0342102414203746,0.9405303597450256,1,2004
NVLS1,-0.1513746904565369,0.919882595539093,0,2004
QLGC,0.2272727272727273,0.9142499566078186,3,2004
KG,-0.5065320665083135,0.9055390954017639,0,2004
L,0.2571132358023271,0.8973383903503418,3,2004
FHI,-0.0850894280148751,0.8855201005935669,1,2004
NI,0.1194482758620689,0.8569703102111816,2,2004
CTXS,0.101778715706964,0.8556721210479736,2,2004
WEN,0.382454790303963,0.8545646071434021,4,2004
INTU,-0.0192784496280928,0.8522679805755615,1,2004
UNP,0.1880794701986754,0.8452922105789185,3,2004
PAYX,-0.0637096332035747,0.8184072375297546,1,2004
MCO,0.1467151204218326,0.7933546304702759,3,2004
NFB,0.0143295406003649,0.7645078301429749,1,2004
ASO1,0.147671425228177,0.7327366471290588,3,2004
S1,0.1889374643603877,0.728146493434906,3,2004
PHM,0.3285900216919739,0.7164722084999084,4,2004
GP1,0.0696314346634177,0.7147263884544373,2,2004
BEN,0.2775669299415324,0.7056207060813904,3,2004
ADBE,0.7107273838630805,0.701653003692627,4,2004
AIV,0.3413236060448148,0.9999978542327881,3,2005
XTO,0.3349904893653812,0.9868395924568176,3,2005
XOM,0.0419876102133796,0.9623240828514099,1,2005
CPNLQ,-0.8999999999999999,0.9083192348480225,0,2005
CVX,0.0266144384243667,0.8994958400726318,1,2005
APA,0.075904717254928,0.8986552357673645,1,2005
COP,0.1974498229043684,0.8386388421058655,3,2005
MS,0.1192477377387046,0.8367681503295898,2,2005
DVN,0.2884449744914861,0.8142707943916321,3,2005
QLGC,-0.0444444444444444,0.8085740208625793,0,2005
CITGQ,0.4284858469372472,0.7933666706085205,4,2005
LUV,0.2648744651650923,0.7400945425033569,3,2005
GS,0.439483586671288,0.7353830933570862,4,2005
CMVT,-0.0670046286092131,0.70035719871521,0,2005
S2,0.143719806763285,0.6823636889457703,2,2005
AEE,0.0666292082221287,0.6760247945785522,1,2005
LEHMQ,0.546627527437622,0.6664251685142517,4,2005
GE,-0.0086721893491124,0.6611207127571106,1,2005
JAVA1,0.2698019801980198,0.6499755382537842,3,2005
ASN,0.4921875,0.6490759253501892,4,2005
MRO,0.3220766439072398,0.9789854288101196,4,2006
COR,0.0962137354532044,0.9725138545036316,2,2006
ADM,0.1026281085154485,0.8978232741355896,2,2006
VNO,0.2878237500369156,0.8870610594749451,4,2006
AAPL,0.4811671087533156,0.8557755351066589,4,2006
PSA,0.1926658346932896,0.8510716557502747,3,2006
UNP,0.1028661417322833,0.8234026432037354,2,2006
KIM,0.2412824427480917,0.8222827315330505,3,2006
NSC,-0.0501375379292743,0.7964211106300354,0,2006
CITGQ,0.0050534703292095,0.7735737562179565,1,2006
CSX,0.354933110367893,0.7507438659667969,4,2006
NVDA,0.004566210045662,0.7448208332061768,1,2006
BBY,-0.1230639426264087,0.7313050031661987,0,2006
L,0.3555085306176433,0.7300500273704529,4,2006
CHIR1,0.0464963981663391,0.7287558913230896,1,2006
WEN,0.0949354111133893,0.7260974049568176,2,2006
JCI,0.2647477141889602,0.7184414863586426,3,2006
NTAP,0.0136026686434396,0.7125023603439331,1,2006
ASN,0.1503365744203439,0.7116163969039917,2,2006
TROW,0.22375516807478,0.708624541759491,3,2006
AAPL,0.5447707736389684,0.9972858428955078,4,2007
TSN,-0.1707607250332423,0.8800060153007507,1,2007
NEBLQ,0.2661624876096771,0.815764307975769,4,2007
PMCS,0.1027104136947219,0.7707200646400452,3,2007
AMZN,0.7914572864321607,0.7520596981048584,4,2007
VIAV,-0.1208740655549166,0.7482286691665649,2,2007
FCX,0.4758869768429998,0.7103266716003418,4,2007
MU,-0.5057588075880759,0.6559738516807556,0,2007
SLR,0.2285714285714286,0.6227375268936157,4,2007
TER,-0.2490835297198219,0.6194976568222046,1,2007
GOOGL,-0.0385626643295354,0.6142593026161194,2,2007
RDC,0.2816019212669978,0.6029942035675049,4,2007
AMD,-0.5490045941807045,0.5975090861320496,0,2007
KLAC,-0.2963156246738336,0.5949247479438782,0,2007
AIV,-0.3067429259482239,0.5766591429710388,0,2007
VRSN,0.3232550508601697,0.5743862390518188,4,2007
NEE,0.05338512763596,0.5729432106018066,3,2007
HST,-0.3620022123893806,0.5578997731208801,0,2007
PLD,-0.0419580419580418,0.5560259222984314,2,2007
ADCT1,0.1015531660692952,0.5384050607681274,3,2007
ETFC,-0.6787534508388193,0.9999997615814209,0,2008
AAPL,-0.2675631810804544,0.9997491240501404,3,2008
MBI,-0.6252699784017279,0.9994972944259644,1,2008
ABKFQ,-0.6747826086956522,0.9883409142494202,0,2008
MU,-0.319910897875257,0.94241863489151,3,2008
WAMUQ,-0.984434283490612,0.8633543252944946,0,2008
AIV,-0.7724706904038211,0.8419699668884277,0,2008
VIAV,-0.7573260073260073,0.7354121208190918,0,2008
KIM,-0.7938228916368751,0.7338091135025024,0,2008
NI,-0.3931648477886272,0.7229422926902771,2,2008
PNW,-0.1936966513460276,0.6999421715736389,3,2008
EP1,-0.616570929070929,0.6907109022140503,1,2008
GME,-0.458146229130685,0.6721972823143005,1,2008
COF,-0.7380238307530194,0.6223888397216797,0,2008
CSX,-0.5292709466811751,0.6137111783027649,1,2008
TLAB,-0.1595943421403789,0.5977315902709961,4,2008
HBAN,-0.8360413589364845,0.5866883397102356,0,2008
NEM,-0.001477104874446,0.5803093314170837,4,2008
MTG,-0.6294549840991337,0.5502976775169373,0,2008
WINMQ,-0.2545242098663398,0.5475250482559204,3,2008
AIV,2.484732824427481,0.9999998807907104,4,2009
S2,0.0644257703081232,0.9998857975006104,0,2009
VIAV,2.8533692722371966,0.9990966320037842,4,2009
MAS,1.2919441460794845,0.9988221526145935,4,2009
AXP,2.1320541760722347,0.9986353516578674,4,2009
M,1.4772030651340995,0.9957361221313477,4,2009
FITB,3.663435648896069,0.9945949912071228,4,2009
CSX,1.0129449838187703,0.9939849972724915,3,2009
JCI,1.804529522782421,0.9880262613296509,4,2009
EBAY,1.1468270427208629,0.9847685098648071,4,2009
MU,1.5540438397581258,0.9845681190490723,4,2009
LEN,1.323435358611238,0.9801709651947021,4,2009
JAVA1,0.296448087431694,0.9716060757637024,1,2009
DD1,0.7574820677714569,0.9713426232337952,3,2009
AES,1.129889083479276,0.9656493067741394,4,2009
IPG,1.019600307455803,0.9649104475975037,3,2009
GME,-0.2180195495112622,0.9579374194145203,0,2009
BBWI,2.0569719861504563,0.955345094203949,4,2009
CAT,1.3373762645491136,0.9535008668899536,4,2009
VIAB,0.9780755176613884,0.9523687958717346,3,2009
AMZN,0.3265576668139638,0.8139909505844116,3,2010
GEN,0.0952837729816147,0.7997494339942932,1,2010
MS,-0.0604838709677418,0.7580775022506714,0,2010
MRO,0.7327684755564521,0.6927603483200073,4,2010
