ticker,ret_12m,proba_class_4,target_class,year
PRU,0.2986922101211564,1.0,4,2004
MCO,0.1467151204218326,1.0,3,2004
PVN,0.3099236641221374,0.9999996423721313,4,2004
EOP,0.1184184063392461,0.9999949932098389,2,2004
NVDA,-0.0990099009900991,0.9921311736106873,0,2004
DOV,-0.0094231211215812,0.9497495889663696,1,2004
LPX,-0.0113391984359726,0.8658682107925415,1,2004
LU1,-0.3309002433090025,0.8616930842399597,0,2004
C,-0.0996386196589648,0.828205943107605,0,2004
NTAP,0.2847661580449077,0.7905376553535461,4,2004
CMS,0.4571660576532683,0.7356991767883301,4,2004
TT,0.1934229378453982,0.7087931632995605,3,2004
VYX,0.5315624999999999,0.6866945028305054,4,2004
PD1,0.2575106089986791,0.684310257434845,3,2004
DCNAQ,-0.3376451953537487,0.6708249449729919,0,2004
RVTY,0.0121937321937322,0.650877833366394,1,2004
WB1,0.1210864607091022,0.6485170722007751,2,2004
PHM,0.3285900216919739,0.6476681232452393,4,2004
S1,0.1889374643603877,0.6447069048881531,3,2004
JWN,0.4041107974594213,0.6394520998001099,4,2004
UST1,-0.1509607640087445,1.0,0,2005
TXU,0.1611378248419686,0.9999992847442627,2,2005
GTW,-0.4565756823821341,0.9999992847442627,0,2005
LPX,0.1044591655131501,0.9997223019599915,2,2005
AIV,0.3413236060448148,0.9940201044082642,3,2005
XTO,0.3349904893653812,0.9487569332122803,3,2005
XOM,0.0419876102133796,0.9452493786811829,1,2005
GS,0.439483586671288,0.8643941283226013,4,2005
ASN,0.4921875,0.8013256788253784,4,2005
MON2,0.3284213708153858,0.7947817444801331,3,2005
DDS,-0.0254638446052559,0.786871612071991,0,2005
PLD,0.5346188483339516,0.7418375611305237,4,2005
EOG,0.4811282349520209,0.6900409460067749,4,2005
VLO,0.6398495455020374,0.6870560646057129,4,2005
ADM,0.3899836333878885,0.6844158172607422,4,2005
OMX,-0.0807448789571695,0.6766166687011719,0,2005
MHS,0.1543272140407503,0.6754332184791565,2,2005
MS,0.1192477377387046,0.6582427024841309,2,2005
MO,0.1314584695879661,0.6344434022903442,2,2005
ATI,1.5616528092718571,0.620266854763031,4,2005
C,0.1311622805619143,0.999970555305481,2,2006
CNP,0.5676061362825544,0.9998775720596313,4,2006
WYE,0.0528856950370535,0.9987562894821167,1,2006
ASN,0.1503365744203439,0.9987101554870605,2,2006
KIM,0.2412824427480917,0.9970190525054932,3,2006
ADM,0.1026281085154485,0.8885998129844666,2,2006
NVDA,0.004566210045662,0.8866761326789856,1,2006
RDC,-0.2532173238651511,0.849898099899292,0,2006
AMCC,-0.2211302211302212,0.835287868976593,0,2006
NOV,0.2131977517484018,0.7888439893722534,3,2006
ASH,0.102979590029663,0.7602261900901794,2,2006
AAPL,0.4811671087533156,0.7601467370986938,4,2006
BSC1,0.0924281984334203,0.7354892492294312,2,2006
CITGQ,0.0050534703292095,0.721102237701416,1,2006
EQR,0.0698398353165636,0.6861222386360168,2,2006
WEN,0.0949354111133893,0.6640661954879761,2,2006
VNO,0.2878237500369156,0.6599074006080627,4,2006
TLAB,-0.3773895545595902,0.6487149596214294,0,2006
PSA,0.1926658346932896,0.5850748419761658,3,2006
COR,0.0962137354532044,0.5731269717216492,2,2006
IPG,-0.3168724279835391,0.9942260384559631,0,2007
WINMQ,-0.1234981140559039,0.965645968914032,2,2007
AAPL,0.5447707736389684,0.9030077457427979,4,2007
LEHMQ,-0.4569291646736531,0.7900837063789368,0,2007
AIV,-0.3067429259482239,0.7693251967430115,0,2007
MS,-0.2920281995661605,0.7382742166519165,1,2007
JPM,-0.0836537186795705,0.7185389399528503,2,2007
UIS,-0.4744958481613286,0.6682666540145874,0,2007
VIAV,-0.1208740655549166,0.584672212600708,2,2007
PMCS,0.1027104136947219,0.5808051824569702,3,2007
BSC1,-0.9293754881103062,0.5628046989440918,0,2007
TER,-0.2490835297198219,0.5034270286560059,1,2007
WEN,-0.6319288389513109,0.4652826189994812,0,2007
NEBLQ,0.2661624876096771,0.4604872465133667,4,2007
EP1,0.1612529002320184,0.43599534034729004,4,2007
SANM,-0.1353591160220993,0.4214646518230438,2,2007
MER,-0.4907804935339483,0.38938191533088684,0,2007
DYNIQ,-0.1479481641468681,0.37756678462028503,1,2007
KR,-0.0908271580212297,0.371905118227005,2,2007
CITGQ,-0.7663099038200747,0.37089481949806213,0,2007
AMD,-0.4821731748726655,0.9564582109451294,1,2008
NBR,-0.7041750158925648,0.949110746383667,0,2008
SOV,-0.7349785407725321,0.8705689907073975,0,2008
AAPL,-0.2675631810804544,0.7295913100242615,3,2008
XTO,-0.4992699518831923,0.7229138016700745,1,2008
MTG,-0.6294549840991337,0.6913747787475586,0,2008
BIGGQ,-0.0681750697784903,0.6229897737503052,4,2008
MER,-0.7017067295371842,0.6088476181030273,0,2008
EOG,-0.5407571862584716,0.5581271648406982,1,2008
LSI1,-0.3858585858585859,0.5158073306083679,2,2008
F,-0.5403199477636305,0.5004672408103943,1,2008
CSX,-0.5292709466811751,0.47105708718299866,1,2008
APA,-0.4661450830027261,0.43351253867149353,1,2008
CFC,-0.2030751921995125,0.43192535638809204,3,2008
WEN,-0.1063342660900534,0.42789426445961,4,2008
